"","dateid","platform","gamemode","mapname","matchid","roundnumber","objectivelocation","winrole","endroundreason","roundduration","clearancelevel","skillrank","role","team","haswon","operator","nbkills","isdead","primaryweapon","primaryweapontype","primarysight","primarygrip","primaryunderbarrel","primarybarrel","secondaryweapon","secondaryweapontype","secondarysight","secondarygrip","secondaryunderbarrel","secondarybarrel","secondarygadget"
"1",20170212,"PS4","BOMB","BANK",866975221,7,"LOCKERS-CCTV_ROOM","Attacker","DefendersEliminated",200,47,"Unranked","Defender",1,0,"SWAT-PULSE",1,1,"UMP45","Submachine_Guns","RedDot","Angle","Laser","HeavyBarrel","M45_MEUSOC","Pistols","None","None","Laser","MuzzleBrake","NITRO_CELL"
"2",20170212,"PC","BOMB","BORDER",3873619109,1,"CUSTOMS_INSPECTIONS-SUPPLY_ROOM","Attacker","DefendersEliminated",111,30,"Bronze","Defender",1,0,"GSG9-JAGER",1,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","P12","Pistols","None","None","None","None","BARBED_WIRE"
"3",20170213,"XONE","SECURE_AREA","CLUB_HOUSE",67309561,2,"ARSENAL_ROOM","Attacker","DefendersEliminated",175,27,"Unranked","Attacker",1,1,"SAT-HIBANA",1,1,"TYPE-89","Assault_Rifles","None","None","None","None","BEARING_9","Submachine_Guns","None","None","None","None","STUN_GRENADE"
"4",20170213,"PS4","SECURE_AREA","CONSULATE",2195893029,7,"ARCHIVES","Attacker","DefendersEliminated",221,97,"Platinum","Attacker",0,1,"JTF2-BUCK",1,1,"CAMRS","Marksman_Rifles","Acog","None","None","MuzzleBrake","MK1_9mm","Pistols","None","None","None","MuzzleBrake","FRAG_GRENADE"
"5",20170212,"XONE","BOMB","COASTLINE",3086188629,6,"1F_KITCHEN-1F_SERVICE_ENTRANCE","Defender","AttackersEliminated",195,94,"Silver","Defender",0,1,"SWAT-PULSE",2,0,"UMP45","Submachine_Guns","EosHolo","Angle","None","MuzzleBrake","M45_MEUSOC","Pistols","None","None","None","None","NITRO_CELL"
"6",20170216,"XONE","SECURE_AREA","OREGON",428212361,3,"LAUNDRY_ROOM","Defender","AttackersEliminated",178,113,"Gold","Attacker",0,0,"G.E.O.-JACKAL",0,1,"C7E","Assault_Rifles","Acog","Vertical","None","Compensator","ITA12S","Shotguns","Reflex","None","None","None","BREACH_CHARGE"
"7",20170216,"XONE","SECURE_AREA","OREGON",676311181,4,"DORMS_MAIN_HALL","Defender","AttackersEliminated",184,131,"Platinum","Defender",0,1,"SAS-MUTE",1,1,"MP5K","Submachine_Guns","RedDot","None","None","Flash","P226_MK_25","Pistols","None","None","Laser","Suppressor","NITRO_CELL"
"8",20170216,"PS4","SECURE_AREA","BORDER",2941951529,1,"ARMORY_LOCKERS","Attacker","DefendersEliminated",155,104,"Gold","Defender",1,0,"GSG9-BANDIT",0,1,"MP7","Submachine_Guns","Acog","None","None","MuzzleBrake","P12","Pistols","None","None","None","None","NITRO_CELL"
"9",20170216,"PC","BOMB","OREGON",1512653541,7,"LAUDRY_ROOM-SUPPLY_ROOM","Attacker","DefendersEliminated",225,142,"Gold","Attacker",1,1,"SWAT-ASH",1,1,"R4-C","Assault_Rifles","Acog","Vertical","None","Flash","5.7_USG","Pistols","None","None","None","MuzzleBrake","SMOKE_GRENADE"
"10",20170221,"XONE","SECURE_AREA","HOUSE",1311009301,5,"KID'S_BEDROOM","Defender","AttackersEliminated",200,10,"Silver","Defender",1,1,"SAS-SMOKE",1,1,"M590A1","Shotguns","None","None","None","None","SMG-11","Submachine_Guns","RedDot","None","None","Suppressor","IMPACT_GRENADE"
"11",20170212,"PS4","SECURE_AREA","KAFE_DOSTOYEVSKY",129729161,8,"CIGAR_LOUNGE","Attacker","DefendersEliminated",184,141,"Gold","Defender",0,0,"SAT-ECHO",0,1,"SuperNova","Shotguns","Reflex","None","Laser","None","BEARING_9","Submachine_Guns","Reflex","None","None","Compensator","BARBED_WIRE"
"12",20170212,"PC","SECURE_AREA","FAVELAS",1935494761,5,"1F_AUNT'S_APARTMENT","Attacker","DefendersEliminated",138,74,"Unranked","Attacker",0,1,"SPETSNAZ-FUZE",0,1,"AK-12","Assault_Rifles","Acog","Vertical","None","Flash","PMM","Pistols","None","None","None","Suppressor","BREACH_CHARGE"
"13",20170221,"PS4","SECURE_AREA","KAFE_DOSTOYEVSKY",3452702989,3,"TRAIN_MUSEUM","Attacker","DefendersEliminated",146,89,"Gold","Defender",1,0,"BOPE-CAVEIRA",0,1,"SPAS-15","Shotguns","EosHolo","None","Laser","None","PRB92","Pistols","None","None","Laser","None","IMPACT_GRENADE"
"14",20170216,"XONE","SECURE_AREA","PLANE",1178705741,5,"STAFF_SECTION","Attacker","ObjectiveCaptured",192,63,"Bronze","Attacker",0,1,"SAT-HIBANA",1,0,"SuperNova","Shotguns","EosHolo","None","None","None","BEARING_9","Submachine_Guns","RedDot","None","None","Suppressor","STUN_GRENADE"
"15",20170216,"PS4","BOMB","KANAL",3991492049,3,"KITCHEN-PROJECTOR_ROOM","Defender","AttackersEliminated",166,189,"Platinum","Defender",1,1,"GIGN-DOC",1,0,"MP5","Submachine_Guns","Acog","Vertical","Laser","Flash","LFP586","Pistols","None","None","None","None","BARBED_WIRE"
"16",20170216,"XONE","SECURE_AREA","FAVELAS",4254551809,9,"3F_PACKAGING_ROOM","Defender","AttackersEliminated",215,87,"Silver","Attacker",1,0,"SPETSNAZ-GLAZ",3,1,"OTs-03","Marksman_Rifles","Reflex","None","None","MuzzleBrake","PMM","Pistols","None","None","None","None","CLAYMORE"
"17",20170212,"XONE","BOMB","BORDER",970904341,4,"VENTILATION_ROOM-WORKSHOP","Attacker","DefendersEliminated",190,43,"Silver","Defender",0,0,"GSG9-BANDIT",0,1,"MP7","Submachine_Guns","Reflex","None","Laser","Compensator","P12","Pistols","None","None","None","Suppressor","BARBED_WIRE"
"18",20170212,"XONE","SECURE_AREA","YACHT",1732648301,4,"KITCHEN","Defender","AttackersEliminated",160,44,"Silver","Attacker",1,0,"SWAT-THERMITE",0,1,"556XI","Assault_Rifles","RedDot","Vertical","Laser","Suppressor","M45_MEUSOC","Pistols","None","None","Laser","MuzzleBrake","CLAYMORE"
